"requests","count","time"
9,10000,1.834
9,10000,1.738
9,10000,1.742
9,10000,1.836
9,10000,1.879
9,10000,1.735
9,10000,1.695
9,10000,1.543
9,10000,1.814
9,10000,1.807
10,10000,1.833
10,10000,1.538
10,10000,1.513
10,10000,1.832
10,10000,1.719
10,10000,1.848
10,10000,1.853
10,10000,1.77
10,10000,1.646
10,10000,1.513
10,10000,1.524
10,10000,1.834
10,10000,1.537
10,10000,1.533
10,10000,1.531
10,10000,1.833
10,10000,1.542
10,10000,1.545
10,10000,1.508
10,10000,1.523
11,10000,1.508
11,10000,1.831
11,10000,1.843
11,10000,1.517
11,10000,1.534
11,10000,1.542
11,10000,1.535
11,10000,1.832
11,10000,1.515
11,10000,1.827
11,10000,1.509
11,10000,1.83
11,10000,1.828
11,10000,1.503
11,10000,1.516
11,10000,1.519
11,10000,1.515
11,10000,1.505
11,10000,1.825
11,10000,1.509
12,10000,1.507
12,10000,1.749
12,10000,1.747
12,10000,1.843
12,10000,1.745
12,10000,1.828
12,10000,1.546
12,10000,1.816
12,10000,1.539
12,10000,1.559
12,10000,1.814
12,10000,1.568
12,10000,1.813
12,10000,1.565
12,10000,1.534
12,10000,1.515
12,10000,1.523
12,10000,1.519
12,10000,1.518
12,10000,1.828
13,10000,1.539
13,10000,1.537
13,10000,1.519
13,10000,1.837
13,10000,1.516
13,10000,1.514
13,10000,1.836
13,10000,1.514
13,10000,1.513
13,10000,1.541
13,10000,1.511
13,10000,1.835
13,10000,1.519
13,10000,1.832
13,10000,1.506
13,10000,1.589
13,10000,1.51
13,10000,1.513
13,10000,1.501
13,10000,1.522
14,10000,1.51
14,10000,1.835
14,10000,1.514
14,10000,1.512
14,10000,1.522
14,10000,1.833
14,10000,1.833
14,10000,1.604
14,10000,1.835
14,10000,1.512
14,10000,1.511
14,10000,1.513
14,10000,1.507
14,10000,1.509
14,10000,1.517
14,10000,1.829
14,10000,1.832
14,10000,1.53
14,10000,1.524
14,10000,1.533
15,10000,1.515
15,10000,1.507
15,10000,1.831
15,10000,1.509
15,10000,1.84
15,10000,1.534
15,10000,1.717
15,10000,1.718
15,10000,1.711
15,10000,1.727
15,10000,1.728
15,10000,1.749
15,10000,1.84
15,10000,1.845
15,10000,1.538
15,10000,1.821
15,10000,1.537
15,10000,1.827
15,10000,1.502
15,10000,1.516
16,10000,1.513
16,10000,1.834
16,10000,1.507
16,10000,1.507
16,10000,1.507
16,10000,1.513
16,10000,1.521
16,10000,1.835
16,10000,1.499
16,10000,1.509
16,10000,1.517
16,10000,1.522
16,10000,1.519
16,10000,1.84
16,10000,1.51
16,10000,1.505
16,10000,1.838
16,10000,1.513
16,10000,1.509
16,10000,1.831
17,10000,1.84
17,10000,1.833
17,10000,1.502
17,10000,1.835
17,10000,1.516
17,10000,1.521
17,10000,1.505
17,10000,1.512
17,10000,1.517
17,10000,1.836
17,10000,1.835
17,10000,1.51
17,10000,1.556
17,10000,1.518
17,10000,1.504
17,10000,1.518
17,10000,1.524
17,10000,1.511
17,10000,1.836
17,10000,1.507
18,10000,1.536
18,10000,1.607
18,10000,1.831
18,10000,1.838
18,10000,1.522
18,10000,1.508
18,10000,1.515
18,10000,1.843
18,10000,1.508
18,10000,1.826
18,10000,1.744
18,10000,1.829
18,10000,1.512
18,10000,1.518
18,10000,1.511
18,10000,1.509
18,10000,1.508
18,10000,1.519
18,10000,1.554
18,10000,1.837
19,10000,1.524
19,10000,1.836
19,10000,1.846
19,10000,1.503
19,10000,1.831
19,10000,1.515
19,10000,1.836
19,10000,1.835
19,10000,1.523
19,10000,1.836
19,10000,1.511
19,10000,1.51
19,10000,1.835
19,10000,1.506
19,10000,1.526
19,10000,1.517
19,10000,1.838
19,10000,1.843
19,10000,1.517
19,10000,1.514
20,10000,1.521
20,10000,1.506
20,10000,1.504
20,10000,1.499
20,10000,1.836
20,10000,1.542
20,10000,1.826
20,10000,1.828
20,10000,1.516
20,10000,1.508
20,10000,1.835
20,10000,1.83
20,10000,1.512
20,10000,1.517
20,10000,1.536
20,10000,1.833
20,10000,1.838
20,10000,1.518
20,10000,1.506
20,10000,1.516
21,10000,1.511
21,10000,1.513
21,10000,1.521
21,10000,1.827
21,10000,1.829
21,10000,1.844
21,10000,1.516
21,10000,1.524
21,10000,1.858
21,10000,1.512
21,10000,1.508
21,10000,1.516
21,10000,1.531
21,10000,1.521
21,10000,1.834
21,10000,1.505
21,10000,1.834
21,10000,1.836
21,10000,1.829
21,10000,1.511
22,10000,1.514
22,10000,1.532
22,10000,1.826
22,10000,1.827
22,10000,1.513
22,10000,1.833
22,10000,1.838
22,10000,1.521
22,10000,1.514
22,10000,1.834
22,10000,1.537
22,10000,1.539
22,10000,1.517
22,10000,1.503
22,10000,1.515
22,10000,1.515
22,10000,1.828
22,10000,1.518
22,10000,1.513
22,10000,1.838
23,10000,1.523
