"requests","count","time"
5000,10000,3.346
5000,10000,3.354
5000,10000,3.035
5000,10000,3.342
5000,10000,3.35
5000,10000,3.35
5000,10000,3.088
5000,10000,3.333
5000,10000,3.058
5000,10000,3.205
5000,10000,3.081
5000,10000,2.893
5500,10000,2.744
5500,10000,3.0
5500,10000,2.589
5500,10000,2.972
5500,10000,3.122
5500,10000,3.078
5500,10000,3.085
5500,10000,3.041
5500,10000,3.046
5500,10000,2.91
5500,10000,3.087
5500,10000,2.939
5500,10000,2.96
5500,10000,2.908
5500,10000,3.01
5500,10000,3.096
5500,10000,3.061
5500,10000,2.955
5500,10000,3.096
5500,10000,3.011
6000,10000,2.833
6000,10000,2.845
6000,10000,2.907
6000,10000,2.843
6000,10000,2.837
6000,10000,2.869
6000,10000,2.866
6000,10000,2.861
6000,10000,2.823
6000,10000,2.89
6000,10000,2.889
6000,10000,2.86
6000,10000,2.874
6000,10000,2.882
6000,10000,2.879
6000,10000,3.077
6000,10000,2.886
6000,10000,2.895
6000,10000,2.876
6000,10000,2.88
6500,10000,2.886
6500,10000,2.882
6500,10000,2.886
6500,10000,2.92
6500,10000,3.196
6500,10000,3.028
6500,10000,3.006
6500,10000,3.406
6500,10000,3.249
6500,10000,2.537
6500,10000,2.878
6500,10000,2.878
6500,10000,3.257
6500,10000,2.875
6500,10000,2.874
6500,10000,2.87
6500,10000,2.876
6500,10000,2.878
6500,10000,2.927
6500,10000,3.185
7000,10000,3.687
7000,10000,2.947
7000,10000,3.094
7000,10000,2.895
7000,10000,2.78
7000,10000,3.095
7000,10000,3.099
7000,10000,3.031
7000,10000,3.096
7000,10000,3.019
7000,10000,3.017
7000,10000,2.769
7000,10000,2.772
7000,10000,3.018
7000,10000,3.366
7000,10000,2.835
7000,10000,3.09
7000,10000,3.724
7000,10000,3.083
7000,10000,4.534
7500,10000,3.724
7500,10000,3.086
7500,10000,3.045
7500,10000,2.776
7500,10000,3.094
7500,10000,4.298
7500,10000,3.094
7500,10000,2.861
7500,10000,3.091
7500,10000,2.983
7500,10000,3.145
7500,10000,4.494
7500,10000,3.086
7500,10000,3.052
7500,10000,2.852
7500,10000,2.852
7500,10000,2.893
7500,10000,3.093
7500,10000,3.069
7500,10000,2.95
8000,10000,5.113
8000,10000,5.114
8000,10000,2.818
8000,10000,2.77
8000,10000,3.027
8000,10000,3.934
8000,10000,4.671
8000,10000,2.817
8000,10000,2.837
8000,10000,2.813
8000,10000,2.815
8000,10000,2.819
8000,10000,2.824
8000,10000,4.839
8000,10000,4.772
8000,10000,3.4
8000,10000,2.795
8000,10000,3.29
8000,10000,2.833
8000,10000,4.587
8500,10000,5.091
8500,10000,4.838
8500,10000,4.87
8500,10000,5.157
8500,10000,3.125
8500,10000,4.169
8500,10000,3.787
8500,10000,4.793
8500,10000,3.511
8500,10000,3.92
8500,10000,3.888
8500,10000,3.101
8500,10000,3.1
8500,10000,3.092
8500,10000,3.085
8500,10000,4.613
8500,10000,4.418
8500,10000,3.895
8500,10000,4.225
8500,10000,3.788
9000,10000,4.431
9000,10000,4.189
9000,10000,4.774
9000,10000,4.906
9000,10000,3.087
9000,10000,3.116
9000,10000,2.921
9000,10000,3.448
9000,10000,2.896
9000,10000,3.129
9000,10000,3.813
9000,10000,3.04
9000,10000,2.899
9000,10000,3.063
9000,10000,3.609
9000,10000,4.198
9000,10000,3.665
9000,10000,3.786
9000,10000,5.008
9000,10000,3.794
9500,10000,3.746
9500,10000,3.054
9500,10000,5.145
9500,10000,3.139
9500,10000,3.154
9500,10000,3.445
9500,10000,5.23
9500,10000,4.107
9500,10000,3.78
9500,10000,3.698
9500,10000,4.836
9500,10000,4.842
9500,10000,3.17
9500,10000,5.17
9500,10000,5.245
9500,10000,5.223
9500,10000,4.654
9500,10000,3.564
9500,10000,3.46
9500,10000,3.154
